size,trial,adds,muls,time_seconds
1,1,0,0,3.542e-6
1,2,0,0,4.2e-8
1,3,0,0,4.2e-8
1,4,0,0,0.0
1,5,0,0,4.2e-8
1,6,0,0,4.2e-8
1,7,0,0,0.0
1,8,0,0,4.1e-8
1,9,0,0,0.0
1,10,0,0,4.2e-8
11,1,70,0,5.3333e-5
11,2,70,0,1.0042e-5
11,3,70,0,8.375e-6
11,4,70,0,8.375e-6
11,5,70,0,9.375e-6
11,6,70,0,8.125e-6
11,7,70,0,8.0e-6
11,8,70,0,8.916e-6
11,9,70,0,8.083e-6
11,10,70,0,8.125e-6
21,1,246,0,2.4542e-5
21,2,246,0,2.4084e-5
21,3,246,0,2.2375e-5
21,4,246,0,2.3375e-5
21,5,246,0,2.4708e-5
21,6,246,0,2.8375e-5
21,7,246,0,2.8333e-5
21,8,246,0,2.675e-5
21,9,246,0,2.7959e-5
21,10,246,0,3.0417e-5
31,1,495,0,5.6917e-5
31,2,495,0,4.8917e-5
31,3,495,0,5.1333e-5
31,4,495,0,4.6292e-5
31,5,495,0,4.5542e-5
31,6,495,0,5.2375e-5
31,7,495,0,5.0334e-5
31,8,495,0,6.0542e-5
31,9,495,0,5.2208e-5
31,10,495,0,6.5084e-5
41,1,897,0,7.9292e-5
41,2,897,0,9.7125e-5
41,3,897,0,7.5416e-5
41,4,897,0,7.425e-5
41,5,897,0,7.8458e-5
41,6,897,0,7.175e-5
41,7,897,0,7.1625e-5
41,8,897,0,7.2291e-5
41,9,897,0,8.35e-5
41,10,897,0,7.1625e-5
51,1,1373,0,0.000106084
51,2,1373,0,0.000104458
51,3,1373,0,0.00013075
51,4,1373,0,9.6959e-5
51,5,1373,0,9.6792e-5
51,6,1373,0,9.9667e-5
51,7,1373,0,0.000100458
51,8,1373,0,9.7375e-5
51,9,1373,0,0.000103833
51,10,1373,0,0.000112667
61,1,1919,0,0.000165709
61,2,1919,0,0.00013775
61,3,1919,0,0.000139083
61,4,1919,0,0.000141625
61,5,1919,0,0.000145458
61,6,1919,0,0.000136
61,7,1919,0,0.000132542
61,8,1919,0,0.00013325
61,9,1919,0,0.000131125
61,10,1919,0,0.000129333
71,1,2618,0,0.000170958
71,2,2618,0,0.066527542
71,3,2618,0,0.000161417
71,4,2618,0,0.000165959
71,5,2618,0,0.000146291
71,6,2618,0,0.000164375
71,7,2618,0,0.000154166
71,8,2618,0,0.000149833
