size,trial,adds,muls,time_seconds
1,1,0,0,2.875e-6
1,2,0,0,4.2e-8
1,3,0,0,0.0
1,4,0,0,0.0
1,5,0,0,4.1e-8
1,6,0,0,4.2e-8
1,7,0,0,0.0
1,8,0,0,4.2e-8
1,9,0,0,0.0
1,10,0,0,0.0
11,1,115,0,5.5125e-5
11,2,115,0,1.0e-5
11,3,115,0,9.959e-6
11,4,115,0,8.833e-6
11,5,115,0,7.875e-6
11,6,115,0,8.459e-6
11,7,115,0,9.708e-6
11,8,115,0,9.292e-6
11,9,115,0,8.917e-6
11,10,115,0,8.792e-6
21,1,430,0,2.0083e-5
21,2,430,0,2.0417e-5
21,3,430,0,1.8667e-5
21,4,430,0,1.9292e-5
21,5,430,0,1.8917e-5
21,6,430,0,1.9792e-5
21,7,430,0,2.0834e-5
21,8,430,0,2.025e-5
21,9,430,0,1.975e-5
21,10,430,0,2.0208e-5
31,1,934,0,3.8e-5
31,2,934,0,3.4417e-5
31,3,934,0,3.0875e-5
31,4,934,0,3.0417e-5
31,5,934,0,3.0708e-5
31,6,934,0,3.0167e-5
31,7,934,0,3.2083e-5
31,8,934,0,2.9666e-5
31,9,934,0,2.9084e-5
31,10,934,0,3.0375e-5
41,1,1659,0,5.3459e-5
41,2,1659,0,5.3041e-5
41,3,1659,0,5.45e-5
41,4,1659,0,5.7167e-5
41,5,1659,0,5.475e-5
41,6,1659,0,5.4625e-5
41,7,1659,0,5.5125e-5
41,8,1659,0,6.3584e-5
41,9,1659,0,6.1083e-5
41,10,1659,0,5.7416e-5
51,1,2571,0,9.8417e-5
51,2,2571,0,9.1292e-5
51,3,2571,0,7.3208e-5
51,4,2571,0,6.9416e-5
51,5,2571,0,6.8459e-5
51,6,2571,0,7.2709e-5
51,7,2571,0,7.6333e-5
51,8,2571,0,7.1625e-5
51,9,2571,0,7.4834e-5
51,10,2571,0,7.4e-5
61,1,3671,0,9.9333e-5
61,2,3671,0,9.4625e-5
61,3,3671,0,9.7708e-5
61,4,3671,0,0.000130666
61,5,3671,0,9.8792e-5
61,6,3671,0,0.000105833
61,7,3671,0,0.000107
61,8,3671,0,9.8791e-5
61,9,3671,0,0.000100916
61,10,3671,0,9.8959e-5
71,1,4994,0,0.00012525
71,2,4994,0,0.000138375
71,3,4994,0,0.000132042
71,4,4994,0,0.000134917
71,5,4994,0,0.000135292
71,6,4994,0,0.000151459
71,7,4994,0,0.000133875
